contestant,workload,op,n,ns_per_op
artpp::map,dict,insert,235976,97.18
artpp::map,dict,hit,235976,89.29
artpp::map,dict,miss,235976,35.87
artpp::map,dict,scan,1179880,7.38
artpp::map,dict,erase,117988,150.88
artpp::map<buckets>,dict,insert,235976,87.98
artpp::map<buckets>,dict,hit,235976,76.79
artpp::map<buckets>,dict,miss,235976,34.87
artpp::map<buckets>,dict,scan,1179880,2.58
artpp::map<buckets>,dict,erase,117988,145.48
artpp::map (std::allocator),dict,insert,235976,109.33
artpp::map (std::allocator),dict,hit,235976,94.88
artpp::map (std::allocator),dict,miss,235976,37.04
artpp::map (std::allocator),dict,scan,1179880,7.43
artpp::map (std::allocator),dict,erase,117988,171.09
libart,dict,insert,235976,74.19
libart,dict,hit,235976,105.62
libart,dict,miss,235976,46.98
libart,dict,scan,1179880,5.59
libart,dict,erase,117988,170.55
absl::btree_map,dict,insert,235976,68.73
absl::btree_map,dict,hit,235976,172.27
absl::btree_map,dict,miss,235976,74.39
absl::btree_map,dict,scan,1179880,0.89
absl::btree_map,dict,erase,117988,198.14
std::map,dict,insert,235976,116.84
std::map,dict,hit,235976,191.36
std::map,dict,miss,235976,75.41
std::map,dict,scan,1179880,4.35
std::map,dict,erase,117988,265.18
artpp::map,clustered,insert,884615,143.74
artpp::map,clustered,hit,884615,106.99
artpp::map,clustered,miss,884615,84.25
artpp::map,clustered,scan,4423075,15.83
artpp::map,clustered,erase,442308,238.27
artpp::map<buckets>,clustered,insert,884615,177.23
artpp::map<buckets>,clustered,hit,884615,144.94
artpp::map<buckets>,clustered,miss,884615,117.59
artpp::map<buckets>,clustered,scan,4423075,6.46
artpp::map<buckets>,clustered,erase,442308,228.67
artpp::map (std::allocator),clustered,insert,884615,167.69
artpp::map (std::allocator),clustered,hit,884615,108.28
artpp::map (std::allocator),clustered,miss,884615,84.59
artpp::map (std::allocator),clustered,scan,4423075,15.78
artpp::map (std::allocator),clustered,erase,442308,231.22
libart,clustered,insert,884615,168.42
libart,clustered,hit,884615,141.47
libart,clustered,miss,884615,98.52
libart,clustered,scan,4423075,14.08
libart,clustered,erase,442308,235.11
absl::btree_map,clustered,insert,884615,240.62
absl::btree_map,clustered,hit,884615,252.23
absl::btree_map,clustered,miss,884615,228.39
absl::btree_map,clustered,scan,4423075,8.90
absl::btree_map,clustered,erase,442308,291.41
std::map,clustered,insert,884615,345.13
std::map,clustered,hit,884615,397.56
std::map,clustered,miss,884615,264.67
std::map,clustered,scan,4423075,58.50
std::map,clustered,erase,442308,541.41
artpp::map,uniform,insert,1000000,43.53
artpp::map,uniform,hit,1000000,31.53
artpp::map,uniform,miss,1000000,11.40
artpp::map,uniform,scan,5000000,13.29
artpp::map,uniform,erase,500000,95.27
artpp::map<buckets>,uniform,insert,1000000,54.80
artpp::map<buckets>,uniform,hit,1000000,32.42
artpp::map<buckets>,uniform,miss,1000000,25.17
artpp::map<buckets>,uniform,scan,5000000,2.92
artpp::map<buckets>,uniform,erase,500000,124.35
artpp::map (std::allocator),uniform,insert,1000000,60.79
artpp::map (std::allocator),uniform,hit,1000000,35.69
artpp::map (std::allocator),uniform,miss,1000000,14.36
artpp::map (std::allocator),uniform,scan,5000000,18.02
artpp::map (std::allocator),uniform,erase,500000,136.41
libart,uniform,insert,1000000,53.62
libart,uniform,hit,1000000,43.22
libart,uniform,miss,1000000,16.99
libart,uniform,scan,5000000,11.79
libart,uniform,erase,500000,121.09
absl::btree_map,uniform,insert,1000000,97.30
absl::btree_map,uniform,hit,1000000,91.23
absl::btree_map,uniform,miss,1000000,88.94
absl::btree_map,uniform,scan,5000000,2.61
absl::btree_map,uniform,erase,500000,109.78
std::map,uniform,insert,1000000,206.89
std::map,uniform,hit,1000000,172.44
std::map,uniform,miss,1000000,163.76
std::map,uniform,scan,5000000,53.76
std::map,uniform,erase,500000,371.98
artpp::map,sequential,insert,1000000,10.83
artpp::map,sequential,hit,1000000,19.44
artpp::map,sequential,miss,1000000,5.38
artpp::map,sequential,scan,5000000,1.58
artpp::map,sequential,erase,500000,49.38
artpp::map<buckets>,sequential,insert,1000000,38.89
artpp::map<buckets>,sequential,hit,1000000,50.46
artpp::map<buckets>,sequential,miss,1000000,5.36
artpp::map<buckets>,sequential,scan,5000000,8.94
artpp::map<buckets>,sequential,erase,500000,100.49
artpp::map (std::allocator),sequential,insert,1000000,14.88
artpp::map (std::allocator),sequential,hit,1000000,18.43
artpp::map (std::allocator),sequential,miss,1000000,4.76
artpp::map (std::allocator),sequential,scan,5000000,1.86
artpp::map (std::allocator),sequential,erase,500000,65.04
libart,sequential,insert,1000000,19.51
libart,sequential,hit,1000000,39.23
libart,sequential,miss,1000000,5.30
libart,sequential,scan,5000000,1.52
libart,sequential,erase,500000,90.99
absl::btree_map,sequential,insert,1000000,30.14
absl::btree_map,sequential,hit,1000000,84.07
absl::btree_map,sequential,miss,1000000,26.41
absl::btree_map,sequential,scan,5000000,0.73
absl::btree_map,sequential,erase,500000,116.01
std::map,sequential,insert,1000000,78.29
std::map,sequential,hit,1000000,148.25
std::map,sequential,miss,1000000,21.19
std::map,sequential,scan,5000000,3.74
std::map,sequential,erase,500000,374.72
